type,params,description
home,{},Home-Position anfahren
servo,"{""angle"": 63}",Servo: Winkel auf 63° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 68}",Servo: Winkel auf 68° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 73}",Servo: Winkel auf 73° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 78}",Servo: Winkel auf 78° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 84}",Servo: Winkel auf 84° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 90}",Servo: Winkel auf 90° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 95}",Servo: Winkel auf 95° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 101}",Servo: Winkel auf 101° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 106}",Servo: Winkel auf 106° setzen
photo,{},Kamera: Foto aufnehmen und speichern
stepper,"{""steps"": 6984, ""direction"": 1, ""speed"": 80}","Stepper: 6984 Schritte, 15.0 cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 111}",Servo: Winkel auf 111° setzen
photo,{},Kamera: Foto aufnehmen und speichern
