type,params,description
home,{},Move to home position
servo,"{""angle"": 70}",Servo: Set angle to 70° (Y=0.0cm)
photo,{},"Camera: Take photo at Y=0.0cm, Angle=70°"
stepper,"{""steps"": 10864, ""direction"": 1, ""speed"": 80}","Stepper: 10864 steps, 23.3cm, Direction upward, Speed: 80"
servo,"{""angle"": 45}",Servo: Set angle to 45° (Y=23.3cm)
photo,{},"Camera: Take photo at Y=23.3cm, Angle=45°"
stepper,"{""steps"": 10864, ""direction"": 1, ""speed"": 80}","Stepper: 10864 steps, 23.3cm, Direction upward, Speed: 80"
servo,"{""angle"": 27}",Servo: Set angle to 27° (Y=46.7cm)
photo,{},"Camera: Take photo at Y=46.7cm, Angle=27°"
stepper,"{""steps"": 10864, ""direction"": 1, ""speed"": 80}","Stepper: 10864 steps, 23.3cm, Direction upward, Speed: 80"
servo,"{""angle"": 15}",Servo: Set angle to 15° (Y=70.0cm)
photo,{},"Camera: Take photo at Y=70.0cm, Angle=15°"
